CIK,CCP,AccountsPayableCurrent,Assets,Liabilities,CashAndCashEquivalentsAtCarryingValue,AccountsReceivableNetCurrent,InventoryNet,LongTermDebt
1800,CY2016Q1I,null,39637000000,null,3334000000,3430000000,2786000000,null
2488,CY2016Q1I,324000000,2981000000,null,716000000,508000000,675000000,null
2969,CY2016Q1I,null,16810800000,9757700000,286700000,1373300000,649800000,null
4127,CY2016Q1I,180700000,3958200000,414900000,1177500000,null,333700000,null
4281,CY2016Q1I,2657000000,36140000000,21779000000,1384000000,1556000000,3549000000,null
4447,CY2016Q1I,346000000,34808000000,13174000000,3557000000,612000000,416000000,6592000000
4904,CY2016Q1I,1219500000,62486500000,44344800000,190400000,1650000000,null,19782600000
4962,CY2016Q1I,null,158816000000,138089000000,null,null,null,47311000000
4977,CY2016Q1I,null,127766000000,107745000000,3449000000,null,null,null
5272,CY2016Q1I,null,502777000000,413696000000,null,null,null,31952000000
6281,CY2016Q1I,165790000,7570292000,null,1119662000,398979000,399459000,null
6951,CY2016Q1I,644000000,13075000000,6510000000,2470000000,1913000000,1924000000,3343000000
7084,CY2016Q1I,2969000000,39681000000,null,706000000,1965000000,7914000000,null
8670,CY2016Q1I,158400000,51125600000,46622400000,2941400000,2074400000,null,null
8818,CY2016Q1I,836900000,4249400000,null,169600000,1019100000,519500000,null
9389,CY2016Q1I,1259000000,10059000000,8981000000,205000000,908000000,956000000,5461000000
10456,CY2016Q1I,null,17350000000,null,2211000000,null,1682000000,null
10795,CY2016Q1I,null,26236000000,null,1696000000,null,1846000000,null
11544,CY2016Q1I,null,22230934000,17442878000,837515000,null,null,null
12927,CY2016Q1I,11558000000,91547000000,null,7886000000,9711000000,null,null
14272,CY2016Q1I,1543000000,31892000000,17341000000,2644000000,3363000000,1336000000,null
14693,CY2016Q1I,null,4183000000,2621000000,263000000,559000000,1054000000,1230000000
16732,CY2016Q1I,487000000,8081000000,6407000000,383000000,null,829000000,2552000000
16918,CY2016Q1I,429300000,16965000000,10273200000,83100000,null,1851600000,7672900000
18230,CY2016Q1I,5101000000,78307000000,62554000000,null,6856000000,9849000000,null
19617,CY2016Q1I,null,2423808000000,2173651000000,null,null,null,null
20286,CY2016Q1I,null,19447000000,12712000000,613000000,null,null,786000000
21076,CY2016Q1I,436000000,4284000000,4025000000,414000000,null,460000000,null
21344,CY2016Q1I,null,91263000000,null,8748000000,4147000000,3052000000,31946000000
21665,CY2016Q1I,1108000000,12448000000,12521000000,1014000000,1546000000,1234000000,null
23217,CY2016Q1I,1007800000,13187200000,9454700000,466000000,null,1835500000,5500000000
24545,CY2016Q1I,null,15210300000,5291000000,2602900000,456500000,230400000,2973400000
24741,CY2016Q1I,836000000,27945000000,9958000000,3540000000,1388000000,1453000000,null
26172,CY2016Q1I,1809000000,14827000000,7567000000,915000000,null,2759000000,null
27419,CY2016Q1I,6391000000,39908000000,null,4036000000,null,8459000000,null
27904,CY2016Q1I,2732000000,53342000000,null,1708000000,null,null,null
29534,CY2016Q1I,1447223000,11316384000,null,187687000,null,3072063000,null
29905,CY2016Q1I,706191000,8980895000,null,243720000,1167313000,849830000,null
29989,CY2016Q1I,8405800000,21067700000,null,1747300000,6321400000,null,null
31462,CY2016Q1I,986100000,18341800000,11689700000,268500000,2248800000,1386100000,null
31791,CY2016Q1I,159480000,4210721000,2161241000,210731000,436755000,314060000,587800000
32604,CY2016Q1I,2140000000,21764000000,null,3322000000,3874000000,1950000000,null
33185,CY2016Q1I,55900000,6732900000,4200100000,96800000,424700000,null,3077900000
33213,CY2016Q1I,223307000,14049625000,5568054000,1556487000,149517000,null,2800000000
34088,CY2016Q1I,null,342789000000,164291000000,4846000000,null,null,null
34903,CY2016Q1I,null,5125457000,3030284000,19716000,null,null,null
35527,CY2016Q1I,null,142430000000,126075000000,null,null,null,15305000000
36104,CY2016Q1I,null,428638000000,381245000000,null,null,null,34872000000
36270,CY2016Q1I,null,124625632000,108270579000,1178175000,null,null,10341035000
37785,CY2016Q1I,516400000,6390400000,null,64300000,null,854900000,1988000000
37996,CY2016Q1I,null,237288000000,207572000000,15917000000,null,9770000000,null
38777,CY2016Q1I,null,15890900000,3450400000,8041000000,null,null,1442600000
40533,CY2016Q1I,2150000000,31702000000,null,1907000000,3654000000,3504000000,3400000000
40545,CY2016Q1I,13150000000,462193000000,366403000000,null,25918000000,23907000000,null
40704,CY2016Q1I,1725600000,21631600000,15541200000,null,null,1350200000,null
40987,CY2016Q1I,null,8450527000,null,205135000,null,3074641000,250000000
45012,CY2016Q1I,1844000000,33932000000,20872000000,9593000000,null,2893000000,null
46080,CY2016Q1I,176665000,4364695000,2718153000,1095880000,670663000,461734000,1547434000
47111,CY2016Q1I,436343000,5305840000,4426487000,285958000,544027000,770382000,2071404000
47217,CY2016Q1I,9099000000,25523000000,null,4636000000,3884000000,3547000000,null
48465,CY2016Q1I,389418000,6110345000,null,379881000,548497000,1027440000,null
48898,CY2016Q1I,292300000,3400900000,1825200000,320800000,null,559500000,989500000
49071,CY2016Q1I,null,26934000000,16409000000,2801000000,null,null,null
49196,CY2016Q1I,null,72644967000,65487297000,816248000,null,null,7935412000
49826,CY2016Q1I,525000000,15437000000,null,2448000000,null,1134000000,null
50863,CY2016Q1I,3163000000,105467000000,null,3061000000,4216000000,5751000000,24449000000
51143,CY2016Q1I,5302000000,118856000000,103784000000,14354000000,8527000000,1690000000,45254000000
51253,CY2016Q1I,276929000,4162460000,null,528877000,null,600696000,1503647000
51434,CY2016Q1I,2065000000,31043000000,null,1254000000,null,2217000000,null
51644,CY2016Q1I,5785100000,11516800000,9296600000,673400000,3718900000,null,null
52988,CY2016Q1I,487810000,7716805000,null,559722000,null,null,null
55067,CY2016Q1I,1926000000,15297000000,null,310000000,1505000000,null,7520000000
55785,CY2016Q1I,2442000000,14820000000,null,635000000,2255000000,1902000000,null
56873,CY2016Q1I,null,null,null,null,null,null,null
59478,CY2016Q1I,1151600000,34691800000,null,2307600000,3622600000,3740200000,null
60086,CY2016Q1I,null,77224000000,54099000000,null,null,null,null
60667,CY2016Q1I,8821000000,37177000000,29965000000,4561000000,null,11055000000,null
62709,CY2016Q1I,null,18128000000,null,918000000,null,null,null
62996,CY2016Q1I,834000000,6554000000,6470000000,2175000000,null,755000000,null
63754,CY2016Q1I,null,4365000000,2638100000,111800000,371200000,null,1055600000
63908,CY2016Q1I,654500000,33795400000,null,3310100000,null,93700000,null
64040,CY2016Q1I,168000000,8261000000,7071000000,1600000000,978000000,null,null
64803,CY2016Q1I,7361000000,92634000000,null,1779000000,13025000000,13912000000,null
65984,CY2016Q1I,888349000,45933882000,null,1091651000,993424000,null,null
66740,CY2016Q1I,1581000000,32982000000,21208000000,1337000000,4485000000,3627000000,null
68505,CY2016Q1I,424000000,9049000000,null,1940000000,1148000000,287000000,null
70858,CY2016Q1I,null,2185726000000,1922722000000,179610000000,null,null,232849000000
72331,CY2016Q1I,67290000,2372184000,null,47919000,null,240645000,1065774000
72741,CY2016Q1I,646440000,30712475000,null,null,890977000,null,null
72903,CY2016Q1I,809656000,39069844000,null,101491000,729386000,520054000,null
72971,CY2016Q1I,null,1849182000000,1650678000000,null,null,null,227888000000
73124,CY2016Q1I,null,117798800000,108966000000,null,null,null,null
73309,CY2016Q1I,758703000,14395104000,6617032000,2278488000,1493892000,2007879000,null
74208,CY2016Q1I,null,7601568000,3657195000,3668000,null,null,3411825000
75362,CY2016Q1I,null,21356900000,null,1847300000,null,null,null
75677,CY2016Q1I,309000000,5227300000,null,162300000,631400000,692500000,null
76334,CY2016Q1I,999159000,12069401000,7042418000,1034971000,null,1248213000,2728280000
77360,CY2016Q1I,579000000,12030200000,7946000000,158100000,null,1197700000,4859900000
77476,CY2016Q1I,null,70019000000,58788000000,8124000000,null,3219000000,null
78003,CY2016Q1I,3125000000,162929000000,99582000000,2561000000,9033000000,7578000000,null
79282,CY2016Q1I,77912000,4992960000,null,401846000,null,null,1138819000
79879,CY2016Q1I,null,17315000000,12067000000,909000000,null,1863000000,4200000000
80424,CY2016Q1I,7795000000,127508000000,67655000000,7895000000,4591000000,4957000000,null
80661,CY2016Q1I,null,30721600000,22694300000,null,null,null,2701600000
84839,CY2016Q1I,21657000,873015000,331456000,131238000,86012000,13616000,null
86312,CY2016Q1I,null,101680000000,77514000000,null,null,null,null
87347,CY2016Q1I,null,69141000000,33479000000,null,null,3612000000,null
89800,CY2016Q1I,1152923000,6038309000,null,70548000,1290749000,1147361000,null
91142,CY2016Q1I,null,2650600000,1172100000,305500000,null,230200000,null
91419,CY2016Q1I,459400000,15984100000,8975600000,109800000,450100000,899400000,5146000000
91440,CY2016Q1I,161700000,4436400000,1901300000,106300000,570000000,511600000,885400000
91576,CY2016Q1I,null,98402000000,87331000000,null,null,null,10760000000
92122,CY2016Q1I,1584000000,78735000000,56389000000,754000000,null,null,null
92230,CY2016Q1I,null,212405000000,184166000000,2778000000,null,null,22823000000
92380,CY2016Q1I,1153000000,22241000000,null,2388000000,null,null,null
93410,CY2016Q1I,12696000000,263842000000,112366000000,8562000000,null,6508000000,null
93556,CY2016Q1I,1662300000,15607400000,null,352200000,null,1685000000,3822200000
93751,CY2016Q1I,null,243685000000,222157000000,null,null,null,10323000000
96021,CY2016Q1I,2906651000,13351094000,null,610838000,null,null,null
96943,CY2016Q1I,73313000,3943466000,1869391000,392558000,274660000,338906000,1063171000
97210,CY2016Q1I,84104000,2548974000,553073000,319358000,253976000,160687000,null
97476,CY2016Q1I,387000000,15686000000,5904000000,1281000000,1269000000,1805000000,4118000000
97745,CY2016Q1I,853000000,42952700000,null,826800000,2668300000,2154900000,null
100493,CY2016Q1I,1456000000,22511000000,null,254000000,1493000000,2993000000,null
100517,CY2016Q1I,2065000000,40373000000,null,1795000000,null,null,null
100885,CY2016Q1I,791000000,55772000000,35297000000,2673000000,1355000000,null,null
101778,CY2016Q1I,1084000000,32868000000,13517000000,1978000000,779000000,306000000,null
101829,CY2016Q1I,6579000000,88571000000,58541000000,7215000000,null,8507000000,null
104169,CY2016Q1I,37997000000,198705000000,null,7597000000,null,44513000000,null
105770,CY2016Q1I,97500000,1668200000,594200000,178100000,209600000,194100000,null
106040,CY2016Q1I,1571000000,14947000000,5338000000,5887000000,1254000000,1227000000,null
106535,CY2016Q1I,385000000,null,11498000000,411000000,null,677000000,null
107263,CY2016Q1I,739000000,48807000000,null,164000000,null,142000000,null
109198,CY2016Q1I,2136751000,11704722000,null,1944155000,281631000,3904989000,null
200406,CY2016Q1I,5965000000,136231000000,63584000000,13861000000,11406000000,8170000000,null
202058,CY2016Q1I,529000000,11900000000,null,302000000,null,992000000,null
217346,CY2016Q1I,null,15099000000,10110000000,778000000,null,4477000000,null
277135,CY2016Q1I,null,5964839000,null,279906000,1304560000,1420897000,null
277948,CY2016Q1I,815000000,34610000000,23004000000,731000000,917000000,null,null
310158,CY2016Q1I,2241000000,98755000000,null,9716000000,6850000000,5102000000,null
310764,CY2016Q1I,null,19668000000,null,6976000000,1591000000,1768000000,null
313616,CY2016Q1I,null,48385600000,null,664300000,3871200000,2237700000,12391700000
313927,CY2016Q1I,null,4292300000,2372000000,194300000,277000000,291000000,null
315189,CY2016Q1I,null,59183300000,51992600000,4133200000,null,4061000000,null
315293,CY2016Q1I,null,26813000000,21466000000,465000000,2591000000,null,null
316709,CY2016Q1I,null,190998000000,176485000000,10457000000,null,null,null
318154,CY2016Q1I,818000000,75116000000,null,2896000000,3078000000,2572000000,34307000000
319201,CY2016Q1I,126322000,4782102000,4305530000,925974000,624818000,721493000,3097306000
320187,CY2016Q1I,1714000000,20987000000,null,3044000000,3368000000,null,2055000000
320193,CY2016Q1I,25098000000,305277000000,174820000000,21514000000,12229000000,2281000000,null
320335,CY2016Q1I,null,20621021000,16229278000,null,null,null,743953000
352541,CY2016Q1I,323800000,12535000000,null,4800000,390600000,null,null
352915,CY2016Q1I,null,9565009000,null,54590000,1374737000,null,null
354190,CY2016Q1I,null,10712600000,7060300000,425400000,null,null,null
354950,CY2016Q1I,8711000000,44576000000,38241000000,3257000000,1989000000,13219000000,null
702165,CY2016Q1I,1119000000,33785000000,21562000000,589000000,961000000,null,9398000000
707549,CY2016Q1I,373164000,10024262000,4153134000,2232021000,1236617000,934932000,null
711404,CY2016Q1I,105759000,4601253000,1856472000,44500000,298825000,433596000,null
712515,CY2016Q1I,89000000,7050000000,3652000000,2493000000,233000000,33000000,null
713676,CY2016Q1I,null,360985000000,314657000000,null,null,null,null
715957,CY2016Q1I,670000000,59505000000,45490000000,218000000,1175000000,1304000000,null
720005,CY2016Q1I,null,27753211000,22875972000,1479786000,null,null,null
721371,CY2016Q1I,17340000000,34055000000,null,2598000000,null,10910000000,null
723125,CY2016Q1I,null,24819000000,11541000000,3078000000,1694000000,2608000000,null
723254,CY2016Q1I,151833000,4231210000,null,315116000,550748000,255203000,null
723531,CY2016Q1I,55800000,7067500000,5193400000,253100000,175400000,null,null
726728,CY2016Q1I,null,12037103000,5536613000,null,null,null,3650000000
728535,CY2016Q1I,null,3646958000,null,5992000,690352000,null,961300000
731766,CY2016Q1I,null,117855000000,80964000000,10596000000,7777000000,null,null
731802,CY2016Q1I,null,9543926000,null,47918000,361582000,null,null
732712,CY2016Q1I,null,244587000000,null,5846000000,12485000000,1142000000,null
732717,CY2016Q1I,null,403638000000,null,10008000000,16070000000,null,null
740260,CY2016Q1I,null,22261292000,12399024000,51701000,null,null,11247730000
745732,CY2016Q1I,1056257000,5114177000,null,910025000,null,1498449000,null
746515,CY2016Q1I,623699000,2661540000,null,1013917000,1010667000,null,null
749251,CY2016Q1I,null,2211509000,2324179000,403943000,602877000,null,null
753308,CY2016Q1I,null,84637000000,null,628000000,1574000000,1287000000,null
759944,CY2016Q1I,null,140077000000,120112000000,1855000000,null,null,10035000000
764180,CY2016Q1I,208000000,34063000000,31278000000,3815000000,null,2108000000,null
764478,CY2016Q1I,4397000000,12901000000,null,1845000000,null,4719000000,1378000000
764622,CY2016Q1I,234946000,15185101000,null,14484000,null,null,null
765880,CY2016Q1I,null,21199927000,11569602000,91087000,null,null,10840715000
766704,CY2016Q1I,null,29088293000,13728843000,355949000,null,null,12422581000
769397,CY2016Q1I,107200000,5205600000,null,1223400000,256400000,null,1488400000
773840,CY2016Q1I,5511000000,50365000000,null,4473000000,null,4743000000,10326000000
779152,CY2016Q1I,7060000,1702622000,753755000,54001000,null,null,null
783325,CY2016Q1I,584400000,29104600000,null,34700000,null,null,null
788784,CY2016Q1I,1192000000,38126000000,null,592000000,1107000000,null,10238000000
789019,CY2016Q1I,6759000000,181869000000,107063000000,7170000000,12247000000,2450000000,40900000000
789570,CY2016Q1I,183777000,25497290000,17626030000,1664905000,452751000,97584000,12929281000
796343,CY2016Q1I,71706000,11896682000,4815480000,830696000,599207000,null,1916831000
797468,CY2016Q1I,2801000000,42018000000,null,3176000000,2780000000,997000000,7600000000
798354,CY2016Q1I,66000000,9552000000,6868000000,null,805000000,null,null
804328,CY2016Q1I,1452000000,50060000000,20423000000,5775000000,1697000000,1427000000,9993000000
811156,CY2016Q1I,534000000,20037000000,null,177000000,730000000,null,null
813672,CY2016Q1I,null,2539024000,null,810400000,null,56634000,null
813828,CY2016Q1I,196000000,23501000000,null,411000000,3678000000,822000000,null
814547,CY2016Q1I,20587000,1214941000,789561000,85374000,155207000,null,516000000
815097,CY2016Q1I,619000000,38446000000,null,778000000,null,333000000,null
815556,CY2016Q1I,158496000,2642781000,null,150600000,533485000,965054000,370000000
820027,CY2016Q1I,null,140250000000,133157000000,2649000000,null,null,null
820313,CY2016Q1I,615400000,7890000000,null,687000000,1201900000,933500000,2866500000
821189,CY2016Q1I,1182025000,26338423000,null,668481000,780625000,null,null
822416,CY2016Q1I,null,9843480000,5069953000,1018115000,null,null,null
823768,CY2016Q1I,591000000,20781000000,15471000000,104000000,1532000000,null,null
827052,CY2016Q1I,938000000,50459000000,36824000000,137000000,null,268000000,11538000000
827054,CY2016Q1I,79312000,5537883000,null,2092700000,290183000,306815000,2453400000
829224,CY2016Q1I,662700000,12519400000,7423000000,1294400000,743700000,1293100000,2847400000
831001,CY2016Q1I,null,1800967000000,1572206000000,null,null,null,207835000000
831259,CY2016Q1I,null,42664000000,33927000000,231000000,818000000,null,null
832101,CY2016Q1I,null,3142298000,1649388000,358445000,null,278230000,1101889000
833444,CY2016Q1I,797000000,11611000000,7433000000,292000000,1722000000,670000000,2559000000
842023,CY2016Q1I,13516000,1121924000,null,65713000,87156000,57066000,null
849399,CY2016Q1I,175000000,11767000000,8091000000,5983000000,556000000,null,2207000000
851968,CY2016Q1I,null,10292315000,5112305000,98305000,null,1652030000,null
857005,CY2016Q1I,13426000,2411502000,1557398000,368456000,146669000,null,null
858470,CY2016Q1I,147994000,5702708000,2758648000,579316000,null,15948000,1603192000
858877,CY2016Q1I,1007000000,118654000000,56296000000,8895000000,4047000000,1343000000,28594000000
859737,CY2016Q1I,118500000,7286300000,null,441500000,422600000,285100000,3405700000
860730,CY2016Q1I,1944000000,32776000000,38775000000,852000000,5880000000,1415000000,30554000000
860731,CY2016Q1I,6316000,1318009000,null,35341000,137332000,null,null
864749,CY2016Q1I,112600000,3749900000,1463200000,174700000,377800000,255500000,674900000
865752,CY2016Q1I,183216000,5883484000,null,2528109000,416704000,165929000,null
866787,CY2016Q1I,3991030000,8464105000,null,213380000,294529000,null,null
872589,CY2016Q1I,null,5904460000,2139378000,604214000,1450572000,303294000,null
874716,CY2016Q1I,52458000,1478647000,1552434000,132953000,212072000,183759000,null
874761,CY2016Q1I,1739000000,36900000000,null,1179000000,2581000000,682000000,null
874766,CY2016Q1I,null,227493000000,209381000000,null,null,null,null
875045,CY2016Q1I,271300000,20674700000,10346600000,1130700000,1395100000,964600000,6535600000
875320,CY2016Q1I,75221000,2487906000,1371708000,604245000,181878000,63200000,null
877212,CY2016Q1I,316000000,4936000000,4075000000,194000000,606000000,386000000,2937000000
878927,CY2016Q1I,81079000,2515440000,815164000,7133000,311650000,null,null
879101,CY2016Q1I,null,11249361000,5845299000,222000000,null,null,null
879169,CY2016Q1I,31899000,1103942000,876194000,657615000,null,1309000,null
882095,CY2016Q1I,945000000,47765000000,null,6315000000,6163000000,1880000000,null
882184,CY2016Q1I,null,11300200000,5051200000,1224100000,null,null,null
882835,CY2016Q1I,null,10224408000,4783173000,523033000,514616000,196321000,null
883241,CY2016Q1I,30089000,4965263000,1815258000,827946000,299076000,null,null
884887,CY2016Q1I,371854000,20963413000,null,117360000,null,121392000,null
885725,CY2016Q1I,232000000,17718000000,null,338000000,null,1022000000,5650000000
886982,CY2016Q1I,null,878036000000,791199000000,97951000000,null,null,null
891103,CY2016Q1I,null,5052343000,null,1238664000,234546000,null,null
895421,CY2016Q1I,null,807497000000,730322000000,53638000000,null,null,162804000000
896159,CY2016Q1I,null,156644000000,110747000000,1091000000,null,null,12636000000
896878,CY2016Q1I,270000000,4940000000,3692000000,1289000000,214000000,null,500000000
898173,CY2016Q1I,2782609000,7419773000,null,716008000,178282000,2701760000,1900000000
898293,CY2016Q1I,3020794000,9898202000,7412988000,883218000,null,2293024000,null
899051,CY2016Q1I,null,105947000000,85607000000,null,null,null,5108000000
900075,CY2016Q1I,null,1624135000,907608000,137653000,263292000,11439000,null
906107,CY2016Q1I,null,21301292000,9471497000,368049000,null,null,null
906163,CY2016Q1I,null,2541651000,1285188000,318982000,null,null,null
906345,CY2016Q1I,null,6040455000,3087750000,6935000,null,null,2765800000
908255,CY2016Q1I,null,8940700000,null,392300000,null,756300000,2295200000
909832,CY2016Q1I,8828000000,33873000000,22125000000,4884000000,null,8927000000,5114000000
910521,CY2016Q1I,null,1278068000,null,245956000,160154000,299911000,null
910606,CY2016Q1I,null,null,null,null,null,null,1835300000
912595,CY2016Q1I,null,null,null,null,null,null,null
914208,CY2016Q1I,null,22658200000,14288400000,1454500000,null,null,2073200000
915389,CY2016Q1I,null,15616000000,11331000000,202000000,951000000,1493000000,null
915912,CY2016Q1I,null,17043390000,7186731000,97541000,null,null,6528834000
915913,CY2016Q1I,303805000,9438968000,null,252382000,565724000,531230000,null
916076,CY2016Q1I,174398000,7058287000,3112651000,28596000,448048000,485367000,1752757000
916365,CY2016Q1I,582745000,2564528000,1211825000,74501000,null,1470691000,null
920148,CY2016Q1I,466000000,14410400000,9228100000,696300000,1328500000,188200000,null
920522,CY2016Q1I,null,12067484000,5780041000,48164000,null,null,5135656000
920760,CY2016Q1I,null,14195188000,8101739000,720459000,null,null,null
922224,CY2016Q1I,707000000,38709000000,null,814000000,727000000,332000000,null
922621,CY2016Q1I,null,1340624000,555757000,105282000,null,null,null
927066,CY2016Q1I,480288000,18514198000,12679761000,1041427000,1855285000,192689000,null
927628,CY2016Q1I,null,330346000000,282639000000,null,null,null,null
927653,CY2016Q1I,28585000000,56523000000,null,4048000000,null,15335000000,8107000000
935703,CY2016Q1I,1260300000,16060900000,11391300000,929700000,null,null,null
936340,CY2016Q1I,649000000,28564000000,null,35000000,1185000000,null,null
936468,CY2016Q1I,2715000000,50158000000,46981000000,1452000000,null,null,null
940944,CY2016Q1I,190600000,4501900000,2583700000,215800000,null,178900000,447700000
943452,CY2016Q1I,304247000,3380785000,1702399000,262774000,475659000,478723000,null
943819,CY2016Q1I,77642000,2444610000,771199000,718495000,358171000,232930000,null
945841,CY2016Q1I,438705000,1193241000,984237000,9965000,null,595393000,450457000
946581,CY2016Q1I,30448000,2590277000,2008892000,798742000,168527000,15888000,537500000
947484,CY2016Q1I,null,24541369000,17167593000,557961000,null,null,null
1000228,CY2016Q1I,809124000,6600570000,3154339000,71614000,1274950000,1500369000,null
1000697,CY2016Q1I,73290000,4368395000,2266709000,416387000,439578000,287048000,null
1001250,CY2016Q1I,null,8816300000,null,556000000,1416600000,1150500000,null
1002047,CY2016Q1I,254000000,10037000000,7156000000,2868000000,813000000,98000000,1490000000
1002910,CY2016Q1I,null,23385000000,null,13000000,428000000,483000000,null
1004980,CY2016Q1I,1062000000,64650000000,null,142000000,1010000000,109000000,null
1013237,CY2016Q1I,null,1021705000,480647000,175170000,105928000,null,300000000
1013462,CY2016Q1I,4302000,2758828000,null,863435000,82498000,null,null
1013871,CY2016Q1I,845000000,32680000000,26972000000,1659000000,1018000000,1161000000,19288000000
1014473,CY2016Q1I,null,2323673000,3431696000,170966000,16188000,null,null
1018724,CY2016Q1I,14990000000,61128000000,null,12470000000,5072000000,9582000000,8405000000
1020569,CY2016Q1I,180259000,6422309000,null,117945000,574717000,null,5021270000
1022079,CY2016Q1I,null,10097000000,null,128000000,952000000,82000000,3898000000
1022671,CY2016Q1I,407405000,6391642000,null,976951000,654177000,1066823000,2600000000
1024478,CY2016Q1I,500300000,6539600000,null,1396300000,null,569700000,null
1031296,CY2016Q1I,1000000000,52695000000,null,146000000,1432000000,781000000,null
1032208,CY2016Q1I,null,41835000000,null,376000000,1100000000,231000000,null
1034054,CY2016Q1I,20716000,7371644000,null,103266000,87580000,null,8472270000
1035002,CY2016Q1I,4980000000,44259000000,null,3778000000,null,6056000000,7252000000
1035267,CY2016Q1I,57900000,5306300000,555900000,980500000,325900000,163000000,null
1035443,CY2016Q1I,null,8971532000,4784241000,256000000,null,null,4091499000
1037038,CY2016Q1I,151000000,6213100000,2469600000,456300000,516500000,1124600000,null
1037540,CY2016Q1I,null,19175830000,11246040000,1605678000,null,null,null
1037646,CY2016Q1I,120536000,2035273000,1491940000,110595000,387296000,227323000,null
1037868,CY2016Q1I,366236000,6994702000,3698016000,386940000,null,548777000,null
1039684,CY2016Q1I,522317000,15501149000,null,137219000,null,156075000,8800000000
1041061,CY2016Q1I,null,8221000000,8004000000,934000000,null,210000000,4700000000
1043277,CY2016Q1I,690692000,3162245000,1970439000,179406000,null,null,500000000
1043604,CY2016Q1I,233000000,8917700000,4279600000,1646000000,783900000,98100000,null
1045609,CY2016Q1I,null,31375748000,13035124000,369737000,null,null,11687171000
1045810,CY2016Q1I,320000000,7108000000,2833000000,547000000,523000000,394000000,null
1047862,CY2016Q1I,909000000,45580000000,null,61000000,1085000000,null,12961000000
1048286,CY2016Q1I,null,6121000000,null,99000000,null,null,null
1048695,CY2016Q1I,37243000,2242140000,null,398325000,266185000,35179000,null
1048911,CY2016Q1I,2024000000,37819000000,null,2841000000,null,null,8500000000
1050915,CY2016Q1I,null,5295519000,2122290000,155315000,1493255000,72643000,408212000
1051470,CY2016Q1I,141574000,21718251000,14565257000,175702000,254669000,null,null
1053507,CY2016Q1I,94051000,27064315000,20064100000,336403000,217457000,null,null
1057352,CY2016Q1I,6654000,2106013000,540537000,461720000,47315000,null,350923000
1058090,CY2016Q1I,76606000,2140820000,600566000,250805000,23692000,16885000,null
1058290,CY2016Q1I,213200000,12735900000,3123600000,1524000000,2319100000,null,null
1059556,CY2016Q1I,14400000,5114900000,5466400000,1576100000,852100000,null,null
1060391,CY2016Q1I,542400000,20539200000,null,33400000,935000000,38800000,7560400000
1063761,CY2016Q1I,null,31398498000,25880427000,805076000,null,null,null
1065088,CY2016Q1I,275000000,19608000000,13291000000,2686000000,599000000,null,9030000000
1065280,CY2016Q1I,231914000,11262274000,8945041000,1605244000,null,null,null
1065696,CY2016Q1I,597826000,7356857000,null,229220000,null,1782797000,null
1067701,CY2016Q1I,330000000,11784000000,10283000000,219000000,833000000,74000000,null
1067983,CY2016Q1I,null,586315000000,324478000000,42375000000,null,15837000000,null
1069183,CY2016Q1I,9486000,237108000,83882000,53365000,null,20214000,null
1070750,CY2016Q1I,null,11690000000,4473000000,234000000,null,null,null
1071739,CY2016Q1I,null,18652000000,13199000000,3436000000,null,null,null
1075531,CY2016Q1I,334783000,18334546000,9282179000,1857165000,857140000,null,6321202000
1086222,CY2016Q1I,63822000,4183752000,1070170000,312912000,365103000,null,null
1090012,CY2016Q1I,null,28637000000,null,1635000000,1023000000,null,null
1090727,CY2016Q1I,2040000000,39168000000,null,3887000000,6241000000,null,null
1090872,CY2016Q1I,220000000,7640000000,3475000000,2139000000,602000000,555000000,1596000000
1091667,CY2016Q1I,null,40524000000,null,1278000000,253000000,null,37124000000
1093557,CY2016Q1I,null,299400000,68200000,77900000,67300000,46100000,null
1094285,CY2016Q1I,134200000,2737900000,1310900000,null,371800000,322000000,700200000
1095073,CY2016Q1I,null,20855854000,13015555000,328943000,null,null,null
1097149,CY2016Q1I,36258000,1207560000,315530000,154418000,178000000,22618000,null
1097864,CY2016Q1I,305900000,3855100000,2177000000,619500000,null,759700000,1475200000
1099219,CY2016Q1I,null,917428000000,841463000000,13290000000,null,null,null
1099800,CY2016Q1I,78600000,3853800000,null,501400000,null,356600000,null
1100682,CY2016Q1I,43897000,2103718000,1290546000,157375000,287178000,97101000,810644000
1101239,CY2016Q1I,null,13495835000,8676730000,633758000,326440000,null,5642849000
1103982,CY2016Q1I,4779000000,63975000000,36113000000,null,3101000000,2756000000,null
1108524,CY2016Q1I,54583000,12817270000,7233006000,1799083000,1192965000,null,null
1109357,CY2016Q1I,2874000000,111742000000,84537000000,960000000,3594000000,null,null
1111711,CY2016Q1I,392700000,17471400000,null,23700000,647900000,null,null
1113169,CY2016Q1I,null,6203900000,615000000,1400400000,null,null,null
1116132,CY2016Q1I,174600000,4676500000,2051100000,821600000,263200000,464100000,868500000
1120193,CY2016Q1I,null,13717000000,8020000000,331000000,null,null,null
1121788,CY2016Q1I,137162000,4410324000,null,857679000,408283000,517767000,null
1123360,CY2016Q1I,null,4699101000,3746351000,627920000,172848000,null,1874077000
1126328,CY2016Q1I,null,217570000000,207199500000,2142900000,null,null,3269100000
1130310,CY2016Q1I,378000000,21004000000,null,218000000,577000000,null,null
1133421,CY2016Q1I,1204000000,23933000000,18312000000,1277000000,null,898000000,null
